TYPE,SUBLOCALITY,PRICE,PROPERTYSQFT,BEDS,BATH
Townhouse for sale,Kings County,2560000,3900.0,13,4.0
Townhouse for sale,New York,3500000,6000.0,7,4.0
Co-op for sale,Queens,219000,780.0,1,1.0
Co-op for sale,New York,935000,1000.0,1,1.0
Co-op for sale,New York,935000,1000.0,1,1.0
Co-op for sale,New York,4650000,3594.0,4,4.0
Townhouse for sale,New York,14995000,6336.0,3,0.0
Co-op for sale,Manhattan,595000,1025.0,1,1.0
Co-op for sale,New York,1200000,1120.0,1,1.0
Townhouse for sale,Queens,979000,1734.0,3,2.0
Co-op for sale,New York,45000000,5500.0,5,6.0
Co-op for sale,New York,1995000,1950.0,3,2.0
Co-op for sale,Queens,263000,950.0,2,1.0
Co-op for sale,New York,7250000,5500.0,4,4.0
Co-op for sale,Brooklyn,179000,600.0,1,1.0
Co-op for sale,New York,395000,440.0,3,1.0
House for sale,Kings County,999000,2200.0,4,1.0
Co-op for sale,Brooklyn,2995000,1825.0,3,2.0
Co-op for sale,New York,950000,1000.0,2,2.0
House for sale,Bronx,999900,1280.0,8,3.0
Co-op for sale,The Bronx,759000,1193.0,2,2.0
Multi-family home for sale,Queens,928500,1740.0,5,4.0
Multi-family home for sale,Queens,1400000,2245.0,6,2.0
Co-op for sale,New York,599000,868.0,3,1.0
Townhouse for sale,New York,15850000,5129.0,5,6.0
Co-op for sale,New York,945000,1000.0,2,1.0
Co-op for sale,New York,389000,550.0,1,1.0
Condo for sale,Queens,568000,490.0,1,1.0
Condo for sale,Manhattan,950000,560.0,1,1.0
Multi-family home for sale,Queens,1069000,2018.0,6,5.0
House for sale,Kings County,599999,1340.0,3,2.0
Co-op for sale,Queens,248000,800.0,1,1.0
Pending,Queens,119000,445.0,3,1.0
Co-op for sale,Queens,195000,719.0,3,1.0
Townhouse for sale,Kings County,699000,2266.0,4,2.0
House for sale,Bronx,699999,1620.0,3,2.0
Co-op for sale,Queens,399000,650.0,1,1.0
House for sale,Kings County,2195000,3454.0,3,4.0
Co-op for sale,Queens,269999,700.0,1,1.0
Multi-family home for sale,Kings County,1350000,3000.0,6,2.0
Co-op for sale,New York,600000,1000.0,3,1.0
Co-op for sale,Queens,355000,900.0,1,1.0
Multi-family home for sale,Queens,650000,1300.0,3,3.0
Co-op for sale,New York,629000,1060.0,2,1.0
Pending,Queens,970000,2550.0,3,2.0
Co-op for sale,New York,549000,1250.0,3,1.0
Co-op for sale,New York,750000,1750.0,3,3.0
Land for sale,Richmond County,750000,1592.0,3,2.0
Condo for sale,Queens,349000,500.0,3,1.0
House for sale,Queens,868000,1452.0,3,2.0
Pending,New York,375000,500.0,1,1.0
House for sale,Richmond County,6700000,3760.0,3,3.0
Pending,New York,375000,500.0,1,1.0
House for sale,Richmond County,6700000,3760.0,3,3.0
Co-op for sale,New York,2800000,1804.0,2,2.0
Pending,New York,950000,1150.0,1,1.0
House for sale,Queens,749000,1500.0,5,4.0
Multi-family home for sale,Kings County,1800000,1800.0,5,2.0
Co-op for sale,Queens,235000,1400.0,3,1.0
Condo for sale,Queens,456000,500.0,1,1.0
Co-op for sale,Queens,335000,800.0,2,1.0
House for sale,Kings County,1300000,1700.0,3,2.0
Condo for sale,New York,1750000,937.0,1,1.0
Co-op for sale,New York,425000,450.0,3,1.0
Co-op for sale,Queens,220000,750.0,1,1.0
Multi-family home for sale,Kings County,988888,1660.0,5,3.0
Co-op for sale,New York,369000,440.0,3,1.0
Co-op for sale,New York,44500000,5500.0,5,6.0
Co-op for sale,Queens,235000,753.0,1,1.0
Co-op for sale,New York,875000,1100.0,1,1.0
Pending,Brooklyn,1795000,1572.0,2,2.0
Townhouse for sale,Queens,579000,1677.0,3,2.0
House for sale,Queens,559900,1221.0,3,2.0
Co-op for sale,New York,650000,1000.0,3,1.0
Condo for sale,The Bronx,209000,658.0,1,1.0
Co-op for sale,Manhattan,1695000,1800.0,3,2.0
Contingent,New York,1875000,1590.0,3,2.0
Co-op for sale,The Bronx,310000,830.0,1,1.0
Multi-family home for sale,Kings County,1895000,1850.0,5,4.0
Co-op for sale,New York,10500000,5771.0,5,6.0
Co-op for sale,Brooklyn,440000,978.0,2,1.0
Land for sale,Queens,650000,1606.0,3,2.0
House for sale,Brooklyn,600000,1095.0,2,2.0
Multi-family home for sale,Kings County,1895000,1850.0,5,4.0
Co-op for sale,Queens,160000,400.0,3,1.0
Multi-family home for sale,Kings County,2499000,3700.0,7,4.0
Multi-family home for sale,Bronx,500000,1700.0,3,2.0
House for sale,Kings County,9000000,2570.0,3,4.0
Co-op for sale,Queens,119000,512.0,3,1.0
Townhouse for sale,Queens,528000,900.0,2,2.0
Co-op for sale,Queens,199888,600.0,1,1.0
Multi-family home for sale,New York,5950000,4120.0,6,5.0
Co-op for sale,Queens,119000,512.0,3,1.0
Co-op for sale,New York,899000,1000.0,1,1.0
Co-op for sale,New York,695000,700.0,1,1.0
Co-op for sale,New York,1950000,960.0,2,2.0
House for sale,Kings County,285000,1572.0,3,1.0
Co-op for sale,New York,695000,700.0,1,2.0
Multi-family home for sale,Queens,1398000,2283.0,4,2.0
Co-op for sale,New York,1950000,960.0,2,2.0
House for sale,Kings County,285000,1572.0,3,1.0
Multi-family home for sale,Bronx,859000,2820.0,6,3.0
House for sale,New York,19500000,6000.0,5,7.0
Co-op for sale,Queens,449000,764.0,2,1.0
Co-op for sale,Manhattan,3950000,1300.0,2,2.0
Condo for sale,Manhattan,7750000,2241.0,3,3.0
Co-op for sale,New York,3195000,1825.0,3,3.0
Co-op for sale,Queens,360000,950.0,2,2.0
Co-op for sale,New York,18000000,4200.0,6,6.0
Co-op for sale,Queens,215000,700.0,1,1.0
Condo for sale,Brooklyn,250000,485.0,3,1.0
Co-op for sale,Riverdale,295000,950.0,2,1.0
Condo for sale,New York,599000,626.0,1,1.0
Co-op for sale,Queens,339000,910.0,1,1.0
Co-op for sale,Queens,255000,650.0,1,1.0
Co-op for sale,Queens,140000,600.0,3,1.0
Co-op for sale,New York,1775000,1150.0,2,2.0
Co-op for sale,New York,4150000,1800.0,2,2.0
Condo for sale,Queens,450888,661.0,1,1.0
Co-op for sale,Kings County,230000,620.0,1,1.0
Co-op for sale,New York,15500000,7500.0,4,6.0
Townhouse for sale,New York,6850000,4000.0,4,4.0
Co-op for sale,Queens,229999,900.0,1,1.0
Co-op for sale,New York,385000,500.0,1,1.0
Co-op for sale,Queens,458000,950.0,2,1.0
Co-op for sale,New York,3100000,1804.0,2,2.0
Co-op for sale,New York,595000,1600.0,3,1.0
Co-op for sale,Queens,470000,1200.0,2,1.0
Co-op for sale,New York,420000,675.0,1,1.0
Pending,New York,1150000,955.0,2,2.0
Pending,Queens,299000,1100.0,2,1.0
Co-op for sale,New York,499000,1025.0,1,1.0
Multi-family home for sale,Kings County,1499999,3135.0,8,6.0
Multi-family home for sale,Kings County,699000,2675.0,2,3.0
House for sale,Queens,1425000,2000.0,5,4.0
Multi-family home for sale,Kings County,2375000,2334.0,4,4.0
House for sale,Queens,1425000,2000.0,5,4.0
Multi-family home for sale,Kings County,1499999,3135.0,8,6.0
Co-op for sale,New York,12500000,5500.0,5,4.0
Co-op for sale,New York,475000,450.0,3,1.0
Pending,New York,1295000,1150.0,1,1.0
Co-op for sale,New York,825000,1000.0,2,2.0
Pending,New York,420000,615.0,1,1.0
Co-op for sale,New York,525000,715.0,1,1.0
Land for sale,Queens,1100000,950.0,3,3.0
Co-op for sale,New York,650000,1060.0,2,2.0
Co-op for sale,New York,1650000,1000.0,1,1.0
Co-op for sale,New York,1425000,1350.0,2,2.0
Pending,Richmond County,599900,2444.0,6,4.0
Co-op for sale,Queens,400000,650.0,1,1.0
Condo for sale,New York,1325000,1140.0,2,2.0
Co-op for sale,Queens,169999,750.0,1,1.0
Pending,New York,420000,615.0,1,1.0
Multi-family home for sale,Queens,1245000,2460.0,7,6.0
Co-op for sale,New York,795000,950.0,1,1.0
Co-op for sale,New York,529000,1012.0,2,1.0
Co-op for sale,New York,595000,700.0,1,1.0
Co-op for sale,Brooklyn,525000,1200.0,3,2.0
Co-op for sale,New York,460000,686.0,2,1.0
House for sale,Queens,1200000,1820.0,4,2.0
Co-op for sale,New York,350000,250.0,3,1.0
Co-op for sale,New York,585000,712.0,1,1.0
Pending,New York,360000,900.0,1,1.0
Co-op for sale,New York,2750000,1300.0,2,2.0
Co-op for sale,New York,1450000,2600.0,4,2.0
Co-op for sale,Queens,329000,745.0,2,1.0
Multi-family home for sale,Kings County,1075000,2000.0,7,3.0
Co-op for sale,New York,585000,712.0,1,1.0
Co-op for sale,New York,3375000,1965.0,3,3.0
House for sale,Kings County,1175000,1240.0,3,2.0
Co-op for sale,New York,3150000,2700.0,4,3.0
Co-op for sale,New York,15000000,7500.0,4,6.0
Co-op for sale,New York,3150000,3000.0,4,4.0
Pending,Queens,825000,1700.0,2,1.0
House for sale,New York,2150000,1471.0,2,2.0
House for sale,Queens,899000,1260.0,3,1.0
Multi-family home for sale,Queens,904000,1480.0,4,3.0
House for sale,Queens,669000,1376.0,3,1.0
Co-op for sale,Queens,279000,800.0,1,1.0
House for sale,Kings County,1175000,1240.0,3,2.0
Co-op for sale,New York,399000,550.0,3,1.0
Co-op for sale,New York,740000,800.0,2,1.0
Condo for sale,New York,849000,706.0,3,2.0
Co-op for sale,New York,1195000,650.0,2,2.0
Co-op for sale,The Bronx,169500,750.0,1,1.0
Co-op for sale,New York,1950000,960.0,2,3.0
Townhouse for sale,Kings County,999000,2000.0,7,4.0
Condo for sale,New York,649000,665.0,1,1.0
Condo for sale,Queens,1175000,2800.0,4,2.0
House for sale,Queens,799000,1680.0,4,2.0
Condo for sale,Queens,358000,500.0,3,1.0
Co-op for sale,Queens,189999,600.0,1,1.0
Co-op for sale,Queens,379000,900.0,2,1.0
Co-op for sale,New York,995000,1000.0,2,2.0
Pending,Queens,450000,823.0,2,1.0
House for sale,Bronx,1500000,9000.0,8,5.0
Townhouse for sale,New York,2299000,5200.0,7,6.0
House for sale,Kings County,1175000,1240.0,3,2.0
Co-op for sale,New York,995000,1000.0,1,1.0
House for sale,Kings County,749999,1868.0,3,2.0
Co-op for sale,New York,1595000,1157.0,2,2.0
Multi-family home for sale,Queens,599000,1893.0,5,2.0
Co-op for sale,New York,2348000,2025.0,3,4.0
Condo for sale,New York,995000,560.0,1,1.0
Townhouse for sale,Kings County,2950000,2601.0,4,4.0
Contingent,New York,468000,550.0,3,1.0
Co-op for sale,New York,2348000,2025.0,3,4.0
Co-op for sale,New York,1850000,1500.0,3,2.0
Co-op for sale,Queens,398800,650.0,1,1.0
Co-op for sale,Queens,142500,600.0,3,1.0
Pending,Queens,1188000,3617.0,7,2.0
Co-op for sale,Brooklyn,694000,1100.0,2,1.0
Co-op for sale,New York,495000,615.0,1,1.0
Condo for sale,Queens,368000,500.0,3,1.0
Multi-family home for sale,Queens,1595000,2880.0,5,3.0
Townhouse for sale,New York,6500000,5000.0,7,5.0
Multi-family home for sale,Queens,1089000,3100.0,4,3.0
Condo for sale,Queens,735000,879.0,1,1.0
Co-op for sale,New York,350000,900.0,1,1.0
Multi-family home for sale,Queens,775000,1591.0,4,2.0
Multi-family home for sale,Queens,1290000,2500.0,5,3.0
House for sale,Queens,1499000,1596.0,7,6.0
Co-op for sale,New York,750000,1000.0,1,1.0
Condo for sale,New York,698000,721.0,1,1.0
Co-op for sale,New York,425000,675.0,1,1.0
Co-op for sale,New York,1995000,2350.0,4,2.0
Co-op for sale,Queens,250000,500.0,3,1.0
House for sale,Queens,845000,1680.0,4,2.0
Co-op for sale,Queens,325000,925.0,2,1.0
Townhouse for sale,Kings County,999000,1874.0,4,2.0
Co-op for sale,New York,465000,725.0,1,1.0
Condo for sale,New York,4995000,2183.0,4,4.0
Co-op for sale,New York,875000,940.0,2,2.0
Co-op for sale,New York,975000,1270.0,2,2.0
Multi-family home for sale,Kings County,5975000,6500.0,12,4.0
Co-op for sale,New York,475000,450.0,3,1.0
Co-op for sale,New York,975000,1000.0,1,1.0
House for sale,Queens,1548000,4539.0,9,4.0
House for sale,Queens,988000,1552.0,4,4.0
Townhouse for sale,New York,1300000,2201.0,3,4.0
House for sale,Kings County,1175000,1240.0,3,2.0
Co-op for sale,New York,670000,860.0,1,1.0
Land for sale,New York,75000,230.0,3,1.0
Multi-family home for sale,Kings County,3299000,3600.0,5,3.0
House for sale,Kings County,799000,2279.0,3,2.0
Multi-family home for sale,Kings County,1560000,2424.0,5,2.0
Co-op for sale,New York,4650000,2400.0,3,3.0
Co-op for sale,New York,530000,715.0,1,1.0
Pending,New York,595000,615.0,1,1.0
Co-op for sale,Queens,475000,1200.0,2,1.0
Multi-family home for sale,Queens,995000,3978.0,7,5.0
Condo for sale,Queens,555000,753.0,2,1.0
Multi-family home for sale,Queens,1250000,4350.0,11,6.0
Co-op for sale,New York,4950000,1800.0,2,2.0
House for sale,Queens,725000,1056.0,3,2.0
Multi-family home for sale,Bronx,854000,2230.0,6,2.0
House for sale,Kings County,1439000,1746.0,4,2.0
Contingent,New York,389000,550.0,1,1.0
Multi-family home for sale,Kings County,789000,1716.0,4,2.0
Multi-family home for sale,Bronx,854000,2230.0,6,2.0
Co-op for sale,Queens,499000,800.0,2,1.0
Pending,New York,895000,1111.0,2,1.0
Co-op for sale,New York,625000,900.0,2,1.0
Multi-family home for sale,Queens,1090000,2905.0,5,3.0
Multi-family home for sale,Queens,1348000,2245.0,6,3.0
Co-op for sale,New York,2975000,1825.0,3,2.0
Co-op for sale,Queens,280000,800.0,1,1.0
Co-op for sale,Queens,259000,650.0,1,1.0
Condo for sale,New York,12495000,2938.0,4,3.0
Multi-family home for sale,Kings County,4800000,3600.0,5,6.0
Co-op for sale,Brooklyn,385000,779.0,1,1.0
Multi-family home for sale,Kings County,1325000,4440.0,9,3.0
Co-op for sale,Queens,350000,900.0,1,1.0
Co-op for sale,New York,525000,322.0,3,1.0
House for sale,Queens,849000,1680.0,4,2.0
Condo for sale,The Bronx,359999,1100.0,3,2.0
Co-op for sale,Queens,229000,900.0,1,1.0
Land for sale,Bronx,1002500,950.0,3,2.0
Co-op for sale,New York,3995000,2300.0,3,2.0
Co-op for sale,New York,695000,700.0,1,1.0
Condo for sale,Queens,585000,877.0,3,2.0
Condo for sale,The Bronx,359999,1100.0,3,2.0
Co-op for sale,Queens,229000,900.0,1,1.0
Land for sale,Kings County,675000,1316.0,3,2.0
Co-op for sale,New York,425000,450.0,3,1.0
Co-op for sale,New York,2175000,3600.0,4,4.0
Pending,Brooklyn,1775000,1572.0,2,2.0
Condo for sale,New York,3595000,1978.0,2,2.0
Pending,Queens,769000,1700.0,2,2.0
Multi-family home for sale,Queens,797777,1591.0,4,2.0
House for sale,Queens,549000,1355.0,4,2.0
Pending,New York,13650000,4230.0,5,7.0
Co-op for sale,Queens,499000,800.0,2,1.0
Co-op for sale,Brooklyn,999000,984.0,1,1.0
Condo for sale,Flushing,699000,830.0,1,1.0
Co-op for sale,New York,940000,1150.0,2,1.0
Condo for sale,New York,1395000,1793.0,2,2.0
Co-op for sale,Brooklyn,999000,984.0,1,1.0
Co-op for sale,New York,940000,1150.0,2,1.0
Co-op for sale,New York,2995000,1825.0,3,4.0
Co-op for sale,New York,2750000,1300.0,2,2.0
Co-op for sale,New York,1395000,1250.0,2,2.0
Condo for sale,New York,1395000,1793.0,2,2.0
Multi-family home for sale,Queens,1049000,2018.0,6,2.0
House for sale,New York,1350000,2560.0,3,2.0
House for sale,Queens,3750000,7723.0,13,8.0
Pending,Brooklyn,450000,1657.0,2,1.0
Co-op for sale,Queens,279000,810.0,2,1.0
Co-op for sale,New York,6350000,3800.0,4,4.0
Co-op for sale,New York,1999000,1200.0,2,2.0
Co-op for sale,Queens,399000,650.0,1,1.0
Co-op for sale,New York,1200000,1000.0,2,2.0
Townhouse for sale,Kings County,1499000,2800.0,6,4.0
Co-op for sale,Queens,290000,675.0,1,1.0
Pending,Queens,599889,1217.0,2,2.0
House for sale,Kings County,775000,1744.0,4,3.0
Co-op for sale,New York,635000,650.0,1,1.0
Co-op for sale,New York,360000,250.0,3,1.0
Co-op for sale,New York,614000,650.0,1,1.0
Condo for sale,Queens,800000,1200.0,3,2.0
Co-op for sale,Queens,189000,600.0,1,1.0
Multi-family home for sale,Queens,1599999,3472.0,8,4.0
Co-op for sale,Queens,165000,850.0,1,1.0
House for sale,Kings County,975000,1400.0,3,2.0
Condo for sale,New York,1080000,890.0,1,1.0
Co-op for sale,Queens,309000,750.0,1,1.0
Co-op for sale,Queens,179000,627.0,1,1.0
Contingent,New York,595000,650.0,3,1.0
Multi-family home for sale,Queens,2780000,5088.0,14,9.0
Condo for sale,Brooklyn,1750000,1320.0,2,2.0
House for sale,Kings County,1400000,3050.0,12,4.0
Contingent,Brooklyn,725000,650.0,3,1.0
Pending,Queens,245000,900.0,2,1.0
House for sale,Kings County,975000,1400.0,3,2.0
Condo for sale,Queens,655000,1182.0,3,2.0
Townhouse for sale,Kings County,1495000,2100.0,5,3.0
Condo for sale,Queens,658000,631.0,1,1.0
Co-op for sale,Queens,395000,1000.0,2,1.0
Co-op for sale,New York,3950000,2300.0,3,2.0
Co-op for sale,The Bronx,285000,830.0,1,1.0
Co-op for sale,Queens,458000,950.0,2,2.0
Co-op for sale,Queens,438000,900.0,2,1.0
Co-op for sale,Queens,289000,675.0,1,1.0
Multi-family home for sale,Queens,1075000,2905.0,5,2.0
Co-op for sale,New York,2500000,3200.0,3,4.0
Condo for sale,Kings County,200000,1840.0,3,1.0
Co-op for sale,New York,2595000,3200.0,3,4.0
Co-op for sale,New York,625000,650.0,1,1.0
Multi-family home for sale,Kings County,1510000,2280.0,5,3.0
Co-op for sale,New York,4500000,1800.0,2,2.0
Co-op for sale,Queens,375000,1470.0,1,1.0
Co-op for sale,Queens,339000,910.0,1,1.0
House for sale,Queens,1149000,2250.0,3,1.0
Co-op for sale,Queens,279000,950.0,2,1.0
House for sale,Queens,849990,1273.0,5,3.0
Co-op for sale,New York,550000,700.0,1,1.0
House for sale,Queens,849990,1273.0,5,3.0
Co-op for sale,New York,1099500,980.0,2,1.0
Co-op for sale,New York,2495000,1300.0,2,2.0
House for sale,Queens,1500000,2275.0,3,1.0
Co-op for sale,The Bronx,299900,830.0,1,1.0
Co-op for sale,Queens,222888,1000.0,2,1.0
Co-op for sale,Queens,295000,750.0,1,1.0
Co-op for sale,New York,995000,1000.0,1,1.0
Multi-family home for sale,Queens,1598000,3472.0,8,5.0
House for sale,Queens,799000,1344.0,3,2.0
Co-op for sale,New York,990000,1000.0,2,2.0
Co-op for sale,The Bronx,600000,1200.0,2,2.0
Co-op for sale,The Bronx,745000,1400.0,3,2.0
Co-op for sale,Flushing,299000,850.0,1,1.0
Multi-family home for sale,Queens,1285000,2240.0,4,2.0
Co-op for sale,New York,560000,700.0,1,1.0
Co-op for sale,The Bronx,269500,900.0,2,1.0
Co-op for sale,New York,3275000,2610.0,3,3.0
Co-op for sale,New York,3795000,2300.0,3,3.0
Co-op for sale,New York,4150000,4480.0,5,4.0
Co-op for sale,Queens,285000,800.0,1,1.0
Condo for sale,Brooklyn,780000,1602.0,3,1.0
Co-op for sale,Queens,345000,745.0,2,1.0
Co-op for sale,New York,4150000,4480.0,5,4.0
Co-op for sale,Queens,345000,745.0,2,1.0
Co-op for sale,Queens,365000,950.0,2,1.0
Multi-family home for sale,Kings County,769000,1716.0,4,3.0
Pending,Queens,925000,1900.0,3,2.0
Co-op for sale,New York,500000,730.0,1,1.0
Pending,New York,625000,630.0,1,1.0
Multi-family home for sale,Queens,1273000,2648.0,3,3.0
Co-op for sale,New York,15000000,4200.0,6,8.0
Contingent,New York,499000,615.0,1,1.0
House for sale,Bronx,749999,2276.0,9,3.0
Townhouse for sale,Queens,1495000,1596.0,6,2.0
Co-op for sale,New York,1995000,1200.0,2,2.0
Co-op for sale,New York,749000,835.0,1,1.0
Co-op for sale,New York,32000000,7500.0,4,6.0
Co-op for sale,New York,1995000,1200.0,2,2.0
Co-op for sale,Queens,338000,745.0,2,1.0
Multi-family home for sale,Kings County,3400000,3040.0,3,8.0
Co-op for sale,New York,975000,1270.0,2,1.0
Multi-family home for sale,Queens,879000,1480.0,4,3.0
Co-op for sale,Queens,289000,675.0,1,1.0
Condo for sale,New York,799000,684.0,1,1.0
Multi-family home for sale,Queens,699000,1591.0,4,2.0
House for sale,Queens,1578000,2152.0,5,3.0
House for sale,Queens,849000,1680.0,4,3.0
Condo for sale,New York,4275000,1778.0,2,2.0
Co-op for sale,New York,1550000,1100.0,1,1.0
Condo for sale,New York,799000,684.0,1,1.0
Co-op for sale,New York,6700000,4200.0,3,3.0
Co-op for sale,New York,715000,700.0,1,1.0
Co-op for sale,New York,885000,1000.0,1,1.0
Co-op for sale,New York,1250000,1350.0,2,3.0
Condo for sale,Queens,580000,869.0,1,2.0
House for sale,Kings County,1175000,2322.0,7,3.0
Multi-family home for sale,Queens,1695000,2200.0,6,4.0
Co-op for sale,The Bronx,300000,863.0,2,1.0
Multi-family home for sale,Kings County,3900000,3181.0,4,4.0
Multi-family home for sale,Kings County,1900000,5250.0,14,6.0
Co-op for sale,New York,350000,250.0,3,1.0
Co-op for sale,New York,875000,1100.0,1,1.0
Co-op for sale,New York,489000,450.0,3,1.0
Pending,New York,949000,1111.0,2,1.0
Land for sale,Kings County,675000,1316.0,3,2.0
Co-op for sale,New York,899000,940.0,2,1.0
Co-op for sale,New York,21000000,5500.0,5,6.0
Co-op for sale,The Bronx,265000,900.0,1,1.0
Co-op for sale,New York,420000,450.0,3,1.0
Multi-family home for sale,Queens,2720000,2350.0,8,4.0
Co-op for sale,New York,620000,1000.0,3,1.0
Co-op for sale,New York,300000,394.0,3,1.0
Co-op for sale,New York,539000,715.0,1,1.0
Co-op for sale,New York,650000,800.0,1,1.0
Co-op for sale,New York,1950000,960.0,2,2.0
Multi-family home for sale,Kings County,2225000,3700.0,7,5.0
Multi-family home for sale,Bronx,890000,2280.0,6,5.0
Land for sale,Brooklyn,1499000,1590.0,3,2.0
Co-op for sale,New York,845000,1100.0,1,1.0
Co-op for sale,Queens,498000,800.0,2,2.0
Co-op for sale,New York,845000,1100.0,1,1.0
Multi-family home for sale,Bronx,890000,2280.0,6,5.0
Co-op for sale,New York,2800000,1804.0,2,2.0
Co-op for sale,New York,699000,700.0,1,1.0
Pending,Brooklyn,225000,500.0,3,1.0
Co-op for sale,New York,4995000,2569.0,3,4.0
Townhouse for sale,New York,4100000,4480.0,5,3.0
Multi-family home for sale,New York,689000,1176.0,4,2.0
Co-op for sale,Queens,369000,1470.0,1,1.0
Co-op for sale,Queens,488888,1549.0,2,2.0
Co-op for sale,New York,600000,900.0,2,2.0
House for sale,Bronx,499998,1100.0,3,3.0
Co-op for sale,New York,439000,475.0,3,1.0
Co-op for sale,New York,3950000,2300.0,3,2.0
Co-op for sale,New York,599000,868.0,3,1.0
Multi-family home for sale,Queens,1325000,2440.0,4,2.0
House for sale,Kings County,799000,2279.0,3,1.0
Co-op for sale,Queens,300000,590.0,3,1.0
Co-op for sale,New York,565000,700.0,1,1.0
Condo for sale,New York,649000,916.0,3,1.0
Multi-family home for sale,Queens,1250000,1800.0,5,5.0
Co-op for sale,New York,6900000,5500.0,3,4.0
Pending,New York,1250000,2000.0,2,2.0
House for sale,Bronx,1000000,1280.0,8,3.0
Multi-family home for sale,Kings County,1175000,2400.0,6,3.0
Pending,Brooklyn,1500000,1230.0,3,2.0
Co-op for sale,Queens,249000,500.0,3,1.0
Co-op for sale,Queens,319000,875.0,1,1.0
Co-op for sale,New York,1095000,1750.0,3,2.0
Condo for sale,Queens,625000,958.0,1,1.0
Co-op for sale,New York,6300000,1800.0,2,2.0
Co-op for sale,The Bronx,375000,1350.0,2,1.0
Co-op for sale,New York,749000,1000.0,2,1.0
Co-op for sale,Queens,410000,1000.0,2,1.0
Pending,Queens,549000,2248.0,6,4.0
Contingent,New York,495000,615.0,1,1.0
Multi-family home for sale,Kings County,1399995,2160.0,6,5.0
Co-op for sale,Queens,270000,700.0,1,1.0
Co-op for sale,New York,2695000,3600.0,4,2.0
Co-op for sale,New York,559000,1012.0,2,1.0
House for sale,Queens,999000,1305.0,4,2.0
Multi-family home for sale,New York,2499000,4140.0,12,6.0
Co-op for sale,The Bronx,167999,750.0,1,1.0
Co-op for sale,New York,410000,675.0,1,1.0
Co-op for sale,New York,900000,1000.0,1,1.0
Co-op for sale,Queens,288000,675.0,1,1.0
House for sale,Queens,1398000,1760.0,4,3.0
Co-op for sale,New York,1059000,1250.0,2,2.0
Multi-family home for sale,Kings County,1200000,4440.0,9,3.0
Condo for sale,New York,499500,472.0,3,1.0
Land for sale,Richmond County,225000,301.0,3,1.0
Co-op for sale,New York,378023,440.0,3,1.0
Co-op for sale,The Bronx,309000,900.0,2,1.0
Co-op for sale,The Bronx,295500,830.0,1,1.0
House for sale,New York,21000000,23027.0,3,4.0
Condo for sale,New York,1125000,500.0,3,1.0
Co-op for sale,New York,795000,1880.0,3,1.0
Co-op for sale,New York,872500,1100.0,1,1.0
Co-op for sale,Queens,460000,950.0,2,1.0
House for sale,New York,21000000,23027.0,3,4.0
Condo for sale,New York,1125000,500.0,3,1.0
Co-op for sale,New York,795000,1880.0,3,1.0
Co-op for sale,New York,872500,1100.0,1,1.0
Condo for sale,Queens,518000,680.0,1,1.0
Co-op for sale,New York,500000,730.0,1,1.0
Co-op for sale,New York,550000,1250.0,3,1.0
Multi-family home for sale,Kings County,2000000,3750.0,8,4.0
Pending,Queens,1058000,2550.0,3,2.0
Multi-family home for sale,Queens,1299999,2440.0,4,2.0
Co-op for sale,Queens,219000,780.0,1,1.0
Multi-family home for sale,Kings County,890000,1892.0,4,3.0
Pending,Richmond County,555000,1520.0,3,2.0
Multi-family home for sale,Kings County,799000,1725.0,3,2.0
Multi-family home for sale,Kings County,2000000,3750.0,8,4.0
Condo for sale,Queens,349000,900.0,2,1.0
Co-op for sale,Queens,285000,800.0,1,1.0
Co-op for sale,New York,370000,440.0,3,1.0
Co-op for sale,New York,1950000,960.0,2,4.0
Co-op for sale,New York,599000,800.0,1,1.0
Co-op for sale,Queens,245000,750.0,1,1.0
Co-op for sale,New York,1275000,850.0,1,1.0
Condo for sale,Manhattan,315000,1400.0,2,2.0
Condo for sale,New York,195000000,17545.0,7,10.0
House for sale,Richmond County,260000,2015.0,4,2.0
Condo for sale,New York,69000,445.0,3,1.0
Townhouse for sale,New York,55000000,14175.0,7,9.0
House for sale,Kings County,690000,4004.0,5,2.0
House for sale,Richmond County,16800000,33000.0,8,16.0
Co-op for sale,East Bronx,265000,750.0,1,1.0
Co-op for sale,Brooklyn,440000,978.0,2,1.0
Co-op for sale,The Bronx,375000,850.0,2,1.0
Townhouse for sale,Richmond County,689000,1162.0,3,2.0
Condo for sale,Staten Island,549000,1000.0,2,2.0
Townhouse for sale,Queens,975000,1734.0,3,2.0
Co-op for sale,Brooklyn,199000,325.0,3,1.0
Co-op for sale,The Bronx,350000,700.0,1,1.0
Condo for sale,Queens,599000,974.0,2,2.0
House for sale,Richmond County,639999,1260.0,3,2.0
Condo for sale,Queens,1300000,1244.0,2,2.0
Multi-family home for sale,Bronx,1100000,2837.0,6,3.0
Condo for sale,Staten Island,349900,651.0,1,1.0
House for sale,Richmond County,750000,1330.0,2,2.0
Multi-family home for sale,Queens,1690000,2200.0,6,4.0
Multi-family home for sale,New York,2250000,5670.0,12,6.0
Multi-family home for sale,Staten Island,1299888,3156.0,10,6.0
Multi-family home for sale,Bronx,925000,2750.0,5,2.0
Condo for sale,Richmond County,329000,794.0,1,2.0
Multi-family home for sale,Staten Island,1300000,5040.0,10,8.0
Multi-family home for sale,Kings County,848000,2080.0,5,4.0
